beer_name,brand,brewery,style,abv,calories,size,package_type,karnataka_price_min,karnataka_price_max,karnataka_price_observations_json,gtin,barcode,image_url,manufacturer_url,sources,confidence_score,last_verified_note
Kingfisher Premium Lager Beer,Kingfisher,United Breweries Ltd (Nanjangud unit) — KSBCL Supplier Code 0210,Lager,,,650ML x 12 Btls,"Bottle, case of 12",110.0,110.0,"[{""value"": ""Rs. 110.00 per bottle (item code 2100900100, price effective 12-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,"Directly read from official KSBCL 'Supplier-wise Item-wise Price List as on 30.06.2026' PDF, row for item code 2100900100."
Kingfisher Strong Premium Beer,Kingfisher,United Breweries Ltd (Nanjangud unit) — KSBCL Supplier Code 0210,Strong Lager,,,650ML x 12 Btls,"Bottle, case of 12",180.0,180.0,"[{""value"": ""Rs. 180.00 per bottle (item code 2100900200, price effective 12-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Kingfisher Premium Lager Beer (Can),Kingfisher,United Breweries Ltd — KSBCL Supplier Code 0202,Lager,,,330ML,Can,100.0,100.0,"[{""value"": ""Rs. 100.00 per can (item code 2020900211, price effective 16-May-2025)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Bullet Super Strong Beer,Bullet,United Breweries Ltd (formerly Karnataka Breweries & Dist.) — KSBCL Supplier Code 0206,Super Strong Lager,,,650ML x 12 Btls,"Bottle, case of 12",120.0,120.0,"[{""value"": ""Rs. 120.00 per bottle (item code 2060900100, price effective 12-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Heineken Lager Beer,Heineken,United Breweries Ltd (Nanjangud unit) — KSBCL Supplier Code 0210,Lager,,,650ML x 12 Btls,"Bottle, case of 12",200.0,200.0,"[{""value"": ""Rs. 200.00 per bottle (item code 2100902400, price effective 12-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Heineken Silver 100% Malt Lager Beer,Heineken,United Breweries Ltd (Nanjangud unit) — KSBCL Supplier Code 0210,Malt Lager,,,650ML x 12 Btls,"Bottle, case of 12",195.0,195.0,"[{""value"": ""Rs. 195.00 per bottle (item code 2100902500, price effective 12-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Budweiser Premium King Of Beers,Budweiser,S P R Distilleries Pvt Ltd — KSBCL Supplier Code 0212 (AB InBev brand under contract bottler),Lager,,,650ML,Bottle,215.01,215.01,"[{""value"": ""Rs. 215.01 per bottle (item code 2120901700, price effective 21-Jul-2023)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,"Directly read from official KSBCL price list PDF. Supplier of record on KSBCL register is S P R Distilleries Pvt Ltd, not AB InBev directly — this is inference from the supplier register, not confirmed against AB InBev's own site."
Budweiser Magnum Beer,Budweiser,S P R Distilleries Pvt Ltd — KSBCL Supplier Code 0212,Strong Lager,,,650ML,Bottle,220.0,220.0,"[{""value"": ""Rs. 220.00 per bottle (item code 2120901900, price effective 05-Apr-2023)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Carlsberg Elephant Strong Super Premium Beer,Carlsberg Elephant,Carlsberg India Pvt Ltd — KSBCL Supplier Code 0205,Strong Lager,,,650ML x 12 Btls,"Bottle, case of 12",240.0,240.0,"[{""value"": ""Rs. 240.00 per bottle (item code 2050900100, price effective 14-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
Tuborg Strong Premium Beer,Tuborg,Carlsberg India Pvt Ltd — KSBCL Supplier Code 0205,Strong Lager,,,650ML x 12 Btls,"Bottle, case of 12",170.0,170.0,"[{""value"": ""Rs. 170.00 per bottle (item code 2050900300, price effective 14-May-2026)"", ""source"": ""Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List"", ""source_url"": ""https://ksbcl.karnataka.gov.in/uploads/supplier%20wise%20item%20wise%20pricing%20details%20as%20on%2030_1784703781.pdf"", ""confidence"": ""High""}]",,,,,"Karnataka State Beverages Corporation Limited (KSBCL) — official Government of Karnataka PSU website, Supplier-wise Item-wise Price List",High,Directly read from official KSBCL price list PDF.
