track,source,url,coverage,reliability,licensing,automation_difficulty,refresh_frequency,confidence,recommendation
brewery,United Breweries Limited — official investor PDF: Kingfisher Smooth Karnataka launch (SEBI Reg 30 filing + press release),https://www.unitedbreweries.com/pdf/Material%20Events/Regulation%2030%20SEBI%20(LODR)%20Regulation%202015%20-%20Launch%20of%20Kingfisher%20Smooth-Karnataka.pdf,,,,,"Filed per product launch, irregular (multiple per year)",High,Excellent structured source for launch-event data; monitor unitedbreweries.com/pdf/Material Events/ folder for new filings.
brewery,United Breweries Limited — official investor PDF: Kingfisher Ultra Max Draught Beer Karnataka launch,https://www.unitedbreweries.com/pdf/Material%20Events/Regulation%2030%20SEBI%20(LODR)%20Regulations%202015%20-%20Launch%20of%20Kingfisher%20Ultra%20Max%20Draught%20Beer.pdf,,,,,,High,
brewery,"United Breweries Limited — official investor PDF: Kingfisher Ultra Witbier launch (brewed in Mysore, Karnataka)",https://www.unitedbreweries.com/pdf/Material%20Events/Launch%20of%20Kingfisher%20Ultra%20Witbier.pdf,,,,,,High,
brewery,United Breweries Limited — official website (age-gated; sitemap),https://www.unitedbreweries.com,,,,,,Medium,Use the /pdf/Material Events/ regulatory-filing PDFs as the reliable machine-readable data source instead of the marketing site.
brewery,Heineken India — official product page: Heineken Original,https://www.heineken.com/in/en/our-products/heineken-original/,,,,,,High,
brewery,Heineken India — official product page: Heineken Silver,https://www.heineken.com/in/en/our-products/heineken-silver/,,,,,,High,
brewery,Heineken India — official product page: Heineken 0.0,https://www.heineken.com/in/en/our-products/heineken-0-0/,,,,,,High,
brewery,Heineken India — products index,https://www.heineken.com/in/en/our-products/,,,,,,High,
brewery,AB InBev India — official site (age gate only),https://abinbevindia.in/,,,,,,Medium,
brewery,AB InBev global — Our Brands page,https://www.ab-inbev.com/our-brands,,,,,,Medium,
brewery,Deccan Herald — 'Beer maker AB InBev to expand operations in Karnataka',https://www.deccanherald.com/india/karnataka/beer-maker-ab-inbev-to-expand-operations-in-karnataka-1168832.html,,,,,,Low,
brewery,Precize.in — 'AB InBev plans Rs 400 Cr investment to expand its operations in Karnataka',https://precize.in/unlistedsharesnews/ab-inbev-plans-rs-400-cr-investment-to-expand-its-operations-in-karnataka,,,,,,Medium,
brewery,Carlsberg India — official Products/Tuborg page,https://www.carlsbergindia.com/our-products/beers-you-love/tuborg/,,,,,,Medium,
brewery,Carlsberg India — official Tuborg Green product page,https://www.carlsbergindia.com/products/tuborg/tuborg-green/,,,,,,High,
brewery,Carlsberg India — official newsroom: Mysuru can-line inauguration,https://www.carlsbergindia.com/latest-news/carlsberg-india-inaugurates-new-can-line-at-mysuru-brewery/,,,,,,High,
brewery,Bira91 — official domain (bira91.com),https://bira91.com/,,,,,,High,"Re-check bira91.com periodically; use stores.bira91taproom.com or Wikipedia as interim references, clearly labeled as non-primary."
brewery,Wikipedia — Bira 91,https://en.wikipedia.org/wiki/Bira_91,,,,,,Medium,
brewery,Simba Beer — official site (simbabeer.com),https://simbabeer.com,,,,,,High,
brewery,Simba Beer — official 'Our Beers' page,https://simbabeer.com/our-beers/,,,,,,Medium,
brewery,"Livcheers — Simba price listing, Bangalore",https://www.livcheers.com/bangalore/brand/simba,,,,,,Medium,
brewery,unsobered.com — Simba beer guide (third-party),https://unsobered.com/simba,,,,,,Low,
brewery,Geist Brewing Co. — official site (geist.in),https://www.geist.in,,,,,,Medium,
brewery,Geist Brewing Co. — official locations page,https://www.geist.in/locations,,,,,,High,
brewery,Arbor Brewing Company India — official site (arborbrewing.in),https://www.arborbrewing.in,,,,,,High,
brewery,Toit — official beer listing page,https://toit.in/beer/,,,,,,Medium,
brewery,Toit — official product page: Banger Lager,https://toit.in/beer/banger-lager/,,,,,,High,
brewery,Toit — official product page: Basmati Blonde,https://toit.in/beer/toit-basmati-blonde/,,,,,,High,
brewery,Mount Everest Breweries — official STOK product page,https://mounteverestbreweries.com/products/stok/,,,,,,High,
brewery,STOK India — official homepage (stokindia.com),https://stokindia.com,,,,,,Medium,
brewery,Brewer World — 'STOK Beer Debuts in Bengaluru with a Chill-Focused Launch',https://www.brewer-world.com/stok-beer-debuts-in-bengaluru-with-a-chill-focused-launch/,,,,,,Medium,
brewery,Goa Brewing Co. — official site (goabrewing.co),https://goabrewing.co,,,,,,Low,
brewery,Byg Brewski — official 'Packages' page,https://bygbrewski.com/packages/,,,,,,Medium,
brewery,Windmills Craftworks — official site (windmills-india.com),https://windmills-india.com/index.html,,,,,,High,
